description,business_tags,sector,category,niche,insurance_label,insurance_label_scores,pred_status,top1_score,gap_top1_top2,human_ok,notes
"Chongqing Renewable Resources Group Co., Ltd is a Chinese company that specializes in the recycling of scrap metal, electrical waste, paper waste, scrap vehicles, aluminum scrap, aluminum products processing, export of aluminum products, pawn, and real estate. The company has a sound recycling network covering all over Chongqing, including 2269 standard community recycle sites, 100 aluminum scrap recycle sites and 60 agriculture renewable resources recycle sites. They also have 60 districts sorting centers, 40 transfer stations, 40 scrap vehicle disposal sites, and 2 aluminum scrap utilization centers. The group's sale networks of aluminum and scrap products cover the whole country, and their products are exported to developed areas such as Europe and America.","['Scrap Car Recycling Services', 'Waste Paper Recycling Services', 'Transfer Station Services', 'Renewable Resources Recovery System Construction', 'Investing for Renewables', 'Aluminum Processing', 'Waste Electrical and Electronic Equipment Recycler', 'Reccling', 'Sorting Centers', 'Aluminum Utilization Areas', 'Pawn and Real Estate Services']",Wholesale,Renewable energy companies,Recyclable Material Merchant Wholesalers,Recycling Services,0.2629,confident,0.2629212953478815,0.0872497763348454,,
"Yunnan Century Mixed Concrete Cutting Engineering Co., Ltd. is a professional company based in Yunnan, China that specializes in steel reinforced concrete cutting, including supporting beam cutting, high-rise building cutting, and special drilling. The company has been in operation for over ten years and has gained a good reputation for its services, with a focus on concrete cutting. They have their own technical construction team and are committed to providing professional and high-quality services. The firm has worked on various projects, including the construction of a high-voltage power plant, a second-hand shipyard project, a high and low-voltaic power plant site, and the construction site for the Yunnan Mining Group's car garage.",[],Services,Concrete Work,Structural Steel and Precast Concrete Contractors,Precast Concrete Installation,0.2515,confident,0.2514516968735829,0.1065431713489862,,
"Urban Video, Inc. is a full-service legal videography firm based in Central Florida that has been providing litigation support and expertise for 20 years. They offer their services in Orange County, Osceola County, Seminole County, Brevard County, and Lake County, including Orlando, Kissimmee, Altamonte Springs, Melbourne, Cocoa Beach, Tavares, Eustis, and other locations. The company's staff includes professional legal video specialists who handle all litigation support needs. Urban Video publishes their rates on their website and provides case discounts for multiple-party cases.","['Legal Video Services', 'Deposition Services', 'Video Wills', 'Day-in-the-life Video Services', 'CME/IME Services', 'Trial Edit Service', 'Litigation Services', 'Central Florida Legal Services', 'Case Discounts for Multiple-party Cases']",Services,Stenographers & Transcription Services,Court Reporting and Stenotype Services,Legal Services,0.2462,confident,0.2462425529922096,0.2096144117329417,,
DONNA Design is a company that specializes in selling young used design furniture from well-known brands. They offer a variety of furniture pieces that can be viewed on their website or in their showroom after making a free in-person appointment. The company has attracted many visitors through their business-like advertising in the market. Customers can also sell their own furniture pieces under the attention of these visitors.,"['Furnishings from Renowned Brands', 'Corporate-style Online Advertisements', 'Used Furniture Sales', 'Showroom Visits', 'Furnishing Services', 'Furniture Delivery']",Wholesale,Furniture Stores,Furniture Merchant Wholesalers,Furniture Manufacturing,0.2448,confident,0.2447987012180652,0.1904583343813819,,
"Booth's Bobcat and Backhoe Hire is a company based in Toowoomba, Australia that specializes in residential and commercial earthmoving and excavation services. With over 20 years of experience in the Darling Downs and Toowooomba Region, they offer a range of services including trenching, slab preparation, post hole digging, landscaping, and grading. They also provide plant and equipment hire, wet hire, power and communications trenching services, and irrigation trenching. Their service area covers Toowooma, Gatton & the Lockyer Valley, Warwick, Highfields, Crows Nest, and the Western Corridor. The company prides itself on excellent service and high standards, ensuring a better, cleaner, and more efficient job for their clients.","['Bobcat and Backhoe Hire Equipment', 'Drainage Services', 'Power Line Trenching Services', 'Lot Clearing', 'Cut and Fill Services', '5-level Residential Lots', 'Site Cleaning Services', 'Grading Services', 'Turf Removal', 'Top Soil Spreading', 'Excavation and Earthmoving Services', 'Rubbish Removals', 'Bobcat Skid Steer', 'Landscaping and Excavation Services', 'Wet Hire', 'Plumbing Services', 'Slab Preparation Services', 'Plant And Equipment Hire', 'Gas Services']",Services,"Excavation, Bulldozing & Demolition",Site Preparation Contractors,Excavation Services,0.2431,confident,0.2431380858659338,0.0984069759790108,,
Ebula Holdings Tanzania is a company that specializes in providing industrial machinery and equipment to small and large industries in East Africa. They offer procurement services for machinery from China at affordable prices.,"['Industrial Equipment Supplier', 'Machinery Maintenance and Repair Services', 'Machineries for Various Industries']",Wholesale,Industrial Machinery & Supplies,Industrial Machinery and Equipment Merchant Wholesalers,Industrial Machinery Installation,0.2342,confident,0.2342397659006705,0.1425823776273734,,
"Detroit Dumpster Rental is a family-owned and operated dumpster rental company located in Detroit, Michigan. They offer a variety of dumpster sizes, including roll-off and rubber wheel dumpsters, for both residential and commercial use. Their goal is to provide low-cost dumpster services while prioritizing customer needs, which has led to them becoming one of the fastest-growing dumpster companies in the Detroit metro area. They pride themselves on their upfront and transparent pricing, with no hidden fees or extra charges. Detroit Dumpsters Rental also offers delivery and pickup services, ensuring that customers can keep their dumpsters clean and clutter-free.","['Dumping Permits', 'Rubber Tire Dumpsters', 'Landfill Services', 'Dumpster Delivery and Pickup Services', 'Waste Management Services', 'Dumpster Rental', 'Prohibited Items']",Services,Garbage Collection & Waste Disposal,Solid Waste Landfill,Waste Management Services,0.2328,confident,0.2327528908636029,0.15547704692403,,
"The Czech Republic is a country located in the central and eastern region of the Czech Republic. The government provides land surveying and cadastral services through various offices, including the Cadastral Office in Prague, the South Bohemian Region, and the South Moravian Region. The Cadastre Office offers land surveys and inspections, as well as online access to the real estate cadastre, which includes extracts from the property register and land registry maps. The website also provides information on the procedure for the sale of real estate, what to watch out for, and estimators of Czech property.","['Property Estimation Services', 'Agricultural Surveying Services', 'Sale of Real Estate Procedures', 'Cadastral Inspections']",Government,Courthouses,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",Real Estate Services,0.2317,confident,0.2316805184771632,0.0980083730160994,,
"KoinControl is a fully EU-licensed and regulated crypto ecosystem that offers a range of financial products and services to make bitcoin investing accessible to everyone. They provide a user-friendly platform for trading digital assets on their exchange, earning passive earnings through their fully automated crypto arbitrage platform, and offer an interest-bearing wallet for generating income. KoinControl's patent-pending system is intended to assist investors in strengthening their crypto portfolio and cultivating consistent, long-term revenue development. They are devoted to constantly enhancing their products and developing unique value-added utilities for their native coin, KCIT. KooinControl aims to produce attractive returns with a proven track record of profitable investments utilizing in-house methodologies to make investing in financial markets accessible to all.","['Eu-regulated Arbitrage Trading System', 'Long-term Revenue Generation', 'Profit-generating Wallet', 'Crypto Portfolio Building', 'Patent-pending System', 'Financial Services for Cryptocurrency Trading', 'User-friendly Financial Services', 'Fully Automated Crypto Arbitrage Platform']",Services,Cryptocurrency,Commodity Contracts Intermediation,Financial Services,0.2253,confident,0.2252887465810748,0.1893354635331933,,
"CHMJ USA Oil & Gas, LLC is a company based in Decatur, Georgia, USA. They specialize in the production and distribution of natural gas.","['Gas Distribution Services', 'Licensed and Insured Company']",Manufacturing,Oil & Gas - Extraction & Distribution,Natural Gas Extraction,Gas Manufacturing Services,0.2213,confident,0.2212938952788194,0.0383628355592691,,
"PT INTERGEO MITIGASI PRIMA is a concrete contractor based in the Special Capital Region of Jakarta, Indonesia.","['Concrete Contractors', 'Construction Services']",Services,Concrete Work,All Other Specialty Trade Contractors,Tilt-Up Concrete Services,0.2165,confident,0.2164842965528394,0.0653913692723505,,
"Jiangsu Qirui Sports and Fitness Equipment Co., Ltd. is a Chinese company that specializes in the production and sales of sports equipment, fitness equipment, children's entertainment facilities, and sports fields. The company offers a range of products, including indoor and outdoor fitness equipment such as treadmills, exercise bikes, power machines, and push machines. They also provide sales and installation services for children's recreation facilities, sports field construction, and installation and maintenance services for sports equipment. Qir is a complete enterprise in the industry, offering products for home and commercial use, including home fitness equipment and commercial spaces.","['Sports Facility Design', 'Basketball Equipment', 'Indoor Fitness Equipments', 'Table Tennis Equipment', 'Strength Machines', 'Sports Shoes', 'Quality Testing Instruments', 'Multi-purpose Court', 'Space Fixtures', 'Running Machines', 'Sports Apparel', 'Repair Services Provider', 'Sports Equipment Installation Services']",Manufacturing,Fitness Equipment,Sporting and Athletic Goods Manufacturing,Sports Management Services,0.2147,confident,0.2147027146992727,0.0565861438732368,,
"Guangzhou Hongyuan Information Technology Co., Ltd. is a Chinese company that specializes in the production and processing of chemical materials. The company is located near the Shanghai-Shanghai border and is committed to providing high-quality products and services to a wide range of customers. They offer a variety of chemical products and equipment, including powder metallurgy, metallurgical processing equipment, metrology equipment, and metallurgic materials. Additionally, the company has been involved in various projects, such as the construction of a steel smelting plant and the development of a hydrogen economy.","['Hydraulics', 'Chemicals', 'Product Distribution', 'White Polymers Phosphate', 'Lifting Machines', 'Vehicle Fittings', 'Polyurethane Foam']",Manufacturing,Chemicals,Other Basic Inorganic Chemical Manufacturing,Chemical Manufacturing,0.2076,confident,0.2076222972859142,0.1644248691438697,,
"Adelaide Property Valuers Metro is a real estate appraisal company located in Adelaide, South Australia. They offer professional property valuation services for both commercial and residential properties. Their team of Certified Practising Valuers (CPVs) are qualified experts with extensive experience in analyzing properties of all kinds. They provide retrospective property valuations, which are backdated reports that determine the value of a property at any date in the past. Adelaide Property Valuer Metro also offers expert witness valuations for property settlements and disputes, plant and equipment valuations. They have over 20 years of experience in conducting rural valuations in South Australia and can provide comprehensive and accurate reports for small businesses, medium-sized companies, and large enterprises.","['Market Value Determination', 'Plant and Equipment Valuation Services', 'Rental Valuations for Commercial Spaces', 'Comprehensive Valuations', 'Property Valuations', 'Stamp Duty Valuations', 'Certified Practising Valuers', 'Real Estate Services', 'Independent Valuation Services', 'Valuation Services', 'Property Settlements and Disputes', 'Adelaide Property Valuation Services', 'Obligation Insurance']",Services,Real Estate Valuations & Home Inspection,Offices of Real Estate Appraisers,Real Estate Services; Property Management Services,0.2043; 0.1761,confident,0.2043340795244788,0.028283466602525,,
"Crewise is a mobile application designed for corporate flight attendants to enhance their services. It offers a global CFA community where users can discover reliable suppliers, get inspired, and navigate destinations with confidence. The app is free for crew and powered by a worldwide crew community. Users can read and write reviews with photos, which bring a unique crew perspective. Crewise also features destination guides with general information and advice, including local rules, regulations, and tips from fellow users. The company aims to provide an all-in-one solution for mastering every flight.","['Private Jet Catering Services', 'Crew Onboard Experiences', 'Verified Supplier Database', 'Catering Business Management', 'Community Advice and Guidance', 'CFA Community', 'Supplier Bookmarking and Referral', 'Crowdsourcing Alerts for Air Ports', 'Live Public Feeds for Crowdsourced Alerts', 'Aviation Services', 'New Supplier Discovery', 'Community Reviews Sharing']",Services,Airline Companies,Nonscheduled Chartered Passenger Air Transportation,Catering Services,0.2031,confident,0.2030609015483418,0.0907524138112727,,
"Kata Bunkai, also known as Kata bunkai Oyo, is a form of martial arts that focuses on learning concepts related to various movements in Kata and combining them into practical applications. The company offers two books, Kata Bunksai Basis and KataBunkai Gevorderd, which provide a three-step plan for self-discovery of concepts in KATA, how to apply them in practical ways, and how to optimize them. The books are suitable for anyone interested in learning about Kata, as well as for preparing for exams or competitions. They cover different levels of Bunka and provide tips on choosing the right Kata for each individual, aswell as the use of special applications such as clamps, hooks, and yokes. The book also includes examples from the 'Wado Karate Jutsu - Return to the Concepts of Kata' series.","['Book Publishing', 'Self-defense Training Services', 'Wado Shotokan Jutsu Books', 'Kata Bunkai Book Publishing']",Services,Martial Arts Gyms,Other Spectator Sports,Publishing Services,0.1866,confident,0.1865800952052742,0.1015355611904761,,
Cacau Show by Rô Vieira - Chocolate Artisan is a company that specializes in artisanal chocolate products. They offer a variety of chocolate items that can be ordered online for delivery.,['Artisanal Chocolate Production'],Manufacturing,Bakeries & Desserts,Confectionery Manufacturing from Purchased Chocolate,Confectionery Manufacturing,0.1835,confident,0.18351221380092,0.1614686526093588,,
"Finance Agents is a funding program that works with banks and business lenders to provide capital to clients seeking to finance their businesses. They offer a variety of programs with no upfront fees and 24-hour approvals, and can help clients get up to $5 million with cash in as few as 48 hours.","['Financial Services', 'Business Financing Solutions', 'Cash Flow Solutions']",Services,Loans & Financing,"International, Secondary Market, and All Other Nondepository Credit Intermediation",Financial Services,0.1774,confident,0.1774034602733273,0.1316595353795016,,
"The Premium Auto is a company that provides comprehensive coverage of the latest car models, industry trends, and technological advancements in the automotive industry. Their team of automotive experts offers honest and unbiased reviews to help customers make informed decisions about their next car. They also provide educational articles and guides covering a wide range of automotive topics, from maintenance tips to conceptual design trends. The company is passionate about cars and strives to provide accurate and timely updates on all things automotive. The Premium Auto aims to be a go-to destination for car enthusiasts, casual drivers, and those looking for the latest trends in the industry.","['Pickup Trucks', 'Green Car Enthusiasts', 'Community Engagements', 'Motorcycles', 'Automotive Community Engagement', 'Maintenance Tips', 'Sports Cars', 'Electric Cars', 'Road Warriors', 'Suvs', 'Family-friendly Vehicles', 'Automotive News', 'Vintage Cars', 'Affordable Cars', 'Fuel-efficient Hybrids', 'Hydrogen Vehicle', 'Luxury Car', 'Automotive Content Provider']",Services,"Alarms, Surveillance & Security Systems",Armored Car Services,Community Engagement Services,0.1769,confident,0.1769265541020196,0.1191579207889188,,
"Wolex Polytechnic is a polytechnique located in Iwara, Osun, Nigeria. It is affiliated with the Local Government of Iwaria.",[],Manufacturing,Plastics Products,Plastics Material and Resin Manufacturing,Plastic Manufacturing,0.1759,confident,0.1758509253350744,0.113610899242425,,
"MMK Medizintechnik GmbH is a distribution company that specializes in medical products, prevention, rehabilitation, and fitness. They offer a wide range of medical and fitness products, including therapeutic and surgical lasers from Eltech K-Laser. With years of experience in the field, they have the necessary knowledge and expertise to provide products that are highly effective in achieving the best results. They also offer Sintesi, a complete fitness studio that provides a technical solution for efficient whole-body training. Additionally, they offer ReflexLux, an interactive sensor light tool that combines various training programs for prevention, rehab, and performance enhancement in various sports. MMK Medificinteknik GbH is committed to providing high-quality products and services to their customers.","['Fitness Equipment Consultation', 'K Laser BLUE VET', 'K-laser Cube VET', 'Medical Equipment Distribution', 'Rehabilitation Equipment Distribution']",Manufacturing,Medical Supply Manufacturers,Electromedical and Electrotherapeutic Apparatus Manufacturing,Veterinary Health Centers,0.1639,confident,0.1639224427448006,0.0380925295123929,,
"La Agricultora is a company that offers a mobile application for customers to order fresh fruits, vegetables, and other locally produced products with a click of a button. The company aims to improve the agricultural and quality of life for local farmers by encouraging the diversification of crops, increasing local production, and promoting the implementation of good agricultural practices to ensure safe and chemical-free products. By purchasing from La Agricultor, customers contribute to the socio-economic and social development of local rural communities and the future food future of their families. The app allows customers to save time and receive their orders in under 40 minutes. The founder of La Agricortora has over 20 years of experience in farming and is dedicated to improving the quality of their family's food.","['Website Optimization', 'Website Traffic Analysis', 'Free Website Creation', 'Agricultural Products and Services', 'Soft Launch Events', 'Online Retail']",Manufacturing,Farms & Agriculture Production,Farm Labor Contractors and Crew Leaders,Website Development Services,0.1580,confident,0.1580052235164487,0.091194472193776,,
"Baron Furniture Refinishing is a company that specializes in furniture repair and refinishing services. They offer a range of services including furniture repair, re-upholstery, upholstery, leather re-stretching, and drapery services. The company prides itself on using high-quality materials and providing expert advice to ensure customer satisfaction. With over twenty years of experience, Baron Furniture Reupholstering is known for their attention to detail and commitment to delivering top-notch services.","['Ventilation Systems', 'Ductwork Repair Services', 'Repair Conditioning Units', 'Heating, Ventilation, and Air Conditioning Services', 'Air Conditioning Installation and Repair Services', 'Maintenance Services']",Services,Waterproofing Services,Other Building Finishing Contractors,Boiler Repair Services; Waterproofing Services,0.1546; 0.1356,confident,0.1545582769335717,0.0189112365214752,,
"The company is an industrial towel washing service based in Barcelona, Spain. They offer a complete cleaning service for businesses, including pick-up, washing, sanitizing, drying, folding, and delivery of clean towels. They also provide rental and leasing options for their services. The company uses high-end washing machines with soap and softeners to ensure that the towels are well-soiled and disinfected. They prioritize hygiene and environmental conservation by using dosifiers in their washing machines to minimize the amount of soap used. The service is available for businesses in various industries, including hair salons, beauty centers, massage centers, gyms, physiotherapy, and fitness centers.","['Soap and Softener', 'High-quality Washers', 'Towels for Rent', 'Laundry and Dry Cleaning Services', 'Wash & Fold Service']",Services,Dry Cleaners,Linen Supply,Soap Production Services,0.1506,confident,0.1506239569807203,0.0400517024177403,,
"ISO Exim is an Indian company that specializes in exporting high-quality spices, fish, agro products, plastic and rubber products, and Indian supplies overseas.","['Agro Products Exporter', 'Rubber Products Exporting', 'Indian Products Exporter', 'Spice and Fish Exporter', 'High-quality Spices']",Manufacturing,Plastics Products,All Other Rubber Product Manufacturing,Rubber Manufacturing,0.1460,confident,0.1460461645015774,0.0939926044568446,,
"The company is a manufacturer of premium quality wood pellets, specifically ENplusA1 wood pellets located in Kazahstan, Kazakhstan. They offer a variety of wood pellets in different sizes, including 30kg and 15kg bags of fuel pine wood pellets with a diameter of 6 mm. The pellets are shipped to the European Union and have an ash content of no more than 0.3% on a working basis. The company provides packaging and transport services for their products.","['Pelleting Calculation', 'Wood Fuel Pellets', 'Wood Pellets with Different Diameters', 'Sawdust Pellets']",Manufacturing,Wood Building Material Stores,Sawmills,Wood Product Manufacturing,0.1436,confident,0.1436265053234582,0.1079303826976887,,
"Model Workation is a company that offers a Model Workation in Greece for aspiring models who want to take their careers to the next level. The company provides five high-quality beauty and fashion photoshoots in a luxurious villa located in Thessaloniki, Greece. The photoshoot takes place in a modern and stylish setting with an infinity pool and direct access to a private beach. The event includes five professional photoshops, daily recap videos, and an aftermovie. The location is also equipped with an on-site fashion stylist, two makeup artists, a model community, and networks, as well as a push for social media. The model workation aims to provide the best possible experience and support models in achieving a successful career in the fashion industry.","['Fashion and Beauty Photography Services', 'Goodies and Extras', 'All-inclusive Packages', 'Luxury Modeling Experiences', 'Group Drinks at The Night', 'On-site Fashion Stylist', 'Modeling Services', 'Onset Chef', 'Event Planning Services', 'Community Networks Models', 'Flights & Travel', 'Model Workation Experiences in Greece', 'Daily Recap Videos', 'Social Media Push', 'On-site Makeup Artist', 'Photoshoots']",Services,Modeling Agency,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",Event Planning Services; Social Media Services,0.1419; 0.1272,confident,0.1419498304027976,0.0147940882608104,,
"Centro Tetti - Costruzioni in Legno is an Italian company that specializes in the construction of wooden structures for various needs. They offer a range of services including the construction and installation of wooden roofs, which are composed of a primary order of softwood and solid wood, as well as secondary orders that include various levels of perineum/femmina, drywall, and multistory panels. The company uses laminated wood, which is a type of wood that is shavaged by removing the fiber layer and sanding it to achieve the desired thickness and aesthetic appearance without the need for special joints. They also offer woodworking services, including the production of various types of wood, such as larch, beech, and beechwood, which can be used for construction purposes.","['Woodenclosure Construction', 'Construction Materials Supplier', 'Construction Services for Wooden Houses', 'Ventilation Installation', 'Construction Project Completion', 'Wooden Roofs Installation']",Manufacturing,Building Material Manufacturers,Engineered Wood Member Manufacturing,Fencing Construction Services; Commercial Construction Services; Pipeline Construction Services,0.1404; 0.1379; 0.1243,confident,0.140355689714553,0.0024126395070882,,
"Ilicon Enterprises is a company that specializes in providing health and household products. Their products are designed to help individuals monitor their weight, BMI, body fat, and other body compositions for fitness and wellness. They offer Smart Scales, which are bathroom scales that can be controlled through a smartphone, as well as free Mobile Apps that allow users to track their weight and body fat effortlessly. The company's app provides users with an analysis of their body compositions, current and history, to help them achieve their fitness goals.","['Project Bank', 'Retail', 'Bathroom Scales Manufacturer', 'Health and Wellness Products', 'Smart Scales', 'Weight Tracking App Development', 'Body Fat Tracking']",Manufacturing,Scale Solutions,Totalizing Fluid Meter and Counting Device Manufacturing,Oil and Fat Manufacturing,0.1356,confident,0.1355637729274563,0.0791772050244727,,
"Lorasco is an oilfield services company that has partnered with Baker Hughes to provide a range of world-leading oil services exclusively for Libya. The company's fleet consists of onshore drilling rigs, Baker Hughes Pressure Pumping, and Baker Hughes Wireline Units that have a successful track record of working for national and international oil companies across Libya. Lorasco's partnership with Baker H Hughes allows them to deploy advanced technologies to serve energy companies seeking more efficient, reliable, and cleaner solutions for extraction in Libya. Their services include drilling rigs such as Type 15, Type 25, and Type 45, as well as wireline services, reservoir and production services, formation evaluation services, nuclear logging, acoustic logging, and production logging services. Loranco's production logging service provides real-time, depth-correlated production data, including flow rates, pressures, and gas/oil/water ratios, for pressure transient and nodal well test analysis and reservoir simulation.","['Drilling and Production Operations Evaluation', 'Pipe Recovery', 'Real-time, Depth-correlated Production Data Analysis', 'Caliper Calibation Services', 'Technology Deployment', 'Oil Field Services', 'Industry', 'Nuclear Logging Services', 'Cased Hole Formation Evaluation', 'Well Geometry Instrument Service', 'High-definition Induction Log', 'Gamma-ray Log', 'Segmented Bond Tools', 'Formation Evaluation Services', 'Well Integrity: Cement Evaluation', 'Compressed Neutron Log', 'Machinery Manufacturing', 'Crossflow of Thief Zones Diagnosis', 'Resistivity Logging Solutions', 'Special Pipe Cutter', 'Logging Tools', 'Reservations Performance Monitor', 'Acoustic Production-logging Instruments', 'Drilling Services', 'Reservoir and Production Services', 'Water Breakthrough Diagnosis', 'Deployment of Advanced Energy Systems']",Manufacturing,Oil & Gas - Extraction & Distribution,Support Activities for Oil and Gas Operations,Well Drilling Services,0.1313,confident,0.1312862227739561,0.0289079016034566,,
Renta de Oxigeno Medicinal en Puebla is a company that specializes in the sale and rental of medical oxygen equipment. They offer maintenance and repair services for oxygen tank containers.,"['Maintenance & Repair Services for Oximeters', 'Maintenance Services for Oxygen Tanks', 'Medical Equipment Rental', 'Medical Equipment Sales']",,,Home Health Equipment Rental,Road Maintenance Services; Well Maintenance Services,0.1308; 0.1145,confident,0.1307911522934033,0.01625715599685,,
