description,business_tags,sector,category,niche,insurance_label,insurance_label_scores,pred_status,top1_score,gap_top1_top2,human_ok,notes
"Qonrad Media is a company that specializes in video production and editing services. They offer a range of services including feature and documentary videos, promotional and aftermovies, animation, photo and graphics, and writing and directing. They have worked on various projects such as ""Extraordinary Ordinary People,"" ""2 Wrongs,"" ""Easter Weekend,"" ""Fresh Fridays,"" ""Target Events,"" ""Do not sleep!,"" ""Wreck Race,"" ""Bingo Heist,"" ""Halloween,"" ""Garden Party,"" ""Firing Ground,"" ""Rafting,"" ""Ball,"" ""Techno Rave,"" ""Tion Wayne,"" ""Jacob,"" ""Loving You,"" ""Children's Day,"" ""Steakhouse,"" and ""Mama.""","['Aftermovie and Promotional Video Production', 'Video Production Services', 'Garden Party 2', 'Media Production Services', 'Animation Services', 'Easter Weekender', '2 Wrongs Trailer', 'Editing Showreel 2020', 'Graphic Design Services', 'Fresh Fridays', 'Targeted Events', 'Steakhouses', 'Wreck Racing', 'Mother', 'Halloween Fun', 'Tiktok and Instagram Reels', 'Photography Services', 'Directing And Writing', 'Childrens Day', 'Techno Rave', 'Bingo Heist', 'Feature Documentary Production', 'Loving You']",Services,Video and Audio Production,Motion Picture and Video Distribution,Media Production Services,0.1961,confident,0.1961151377226548,0.0661253579418379,,
"Desentupidora Campo Grande MS is a plumbing company located in Campo Grande Grande, MS that offers a range of services including quick and 24-hour emergency plumbing services such as unclogging drains, pipes, and toilets, as well as cleaning of water tanks and reservoirs. They specialize in unclogging drains and pipes, as they have specialized equipment for the removal of various types of plumbing. The company prides itself on providing high-quality services with a quick response time.","['Cleaning of Reservoirs Services', 'Service for Canoe Unclogs', 'Sewage Unclog Services', 'Contractor Services', 'Service Provider']",Services,Garbage Collection & Waste Disposal,Septic Tank and Related Services,Industrial Plumbing Services; Commercial Plumbing Services,0.1875; 0.1845,confident,0.1874991942187296,0.0029908184759966,,
"A & H Contracting Services Inc is a company based in Arizona that specializes in providing fleet fueling systems, service station equipment, and automotive service equipment to fleet maintenance facilities. They offer a range of services including installation and maintenance of fuel systems both above and below ground, underground storage tank removal, fuel management systems and dispensing systems. A &H Contractors installs and services equipment from top equipment suppliers in the country such as American Lubrication Equipment, Lincoln, Bel Aire Compressors, Bennett, Fuel Master, Cardlock Vending (CV), Containment Solutions, Challenger Lifts, Landa, Norco, Rotary, John Bean and more.","['Fleet Maintenance Equipment and Services', 'John Bean', 'Vapor Extraction System Installation', 'Retrofit and Modernization Services', 'Underground Fuel System Compliance Upgrades', 'Compressed Air System Installation and Service', 'Inventory Control and Monitoring Systems', 'Vehicle Wash System Installation', 'Underground Storage Tank Removal Services', 'Containment Solutions', 'Contaminated Soil Remediation System Installations', 'Automobile In-ground and Above-ground Vehicle Lift', 'Automotive Service Equipment Supplier and Installer', 'Challenger Lifts', 'Lubrication System Installation Services', 'Emergency Generator Fuel Support Systems']",Wholesale,Gas Stations,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Conveyor System Installation,0.1871,confident,0.1870599835057912,0.0496958994063665,,
"OptimizeCars is a company that specializes in vehicle maintenance and fleet management. They offer a mobile application called CARs, which allows users to download and manage their vehicle maintenance needs. The company's main focus is on providing maintenance services for various types of vehicles, including cars, trucks, taxis, tractors, bicycles, and monobuses. OptimizeCars also provides a manual with a help manual that explains the maintenance application and encourages users to send suggestions to their department for evaluation.","['Workshop Services', 'Mobile Application Development', 'Car Workshops', 'Vehicle Maintenance Optimization', 'Mobile App Development for Car Services']",Services,Car Rental,Passenger Car Leasing,Well Maintenance Services,0.1851,confident,0.1850575954461687,0.0792722360874293,,
"MKB Financesupport is a company that provides advice and practical support for financing issues in the small and medium-sized business (SMB) sector. It is part of the MKB Support group, which aims to support and inspire entrepreneurs and SMEs. The company offers services such as business debt assistance, real estate financing, and factoring. MKB Financesuk is a credit specialist with over 45 years of experience in the SMB sector, providing guidance and support to healthy businesses and struggling entrepreneurs. The core business of MKB Financial Support is finding money for SMEs, and the company's mission is to help entrepreneurs so that they can focus on their businesses. The owner, Edwin Boomstra, is a certified credit specialist and has extensive knowledge of the market.","['Real Estate Financing Services', 'Searching for Risk Capital', 'Factoring Services', 'Business Support Services', 'Business Debt Assistance', 'Microfinance Services', 'Real Estate Sales and Leasing']",Services,Loans & Financing,"International, Secondary Market, and All Other Nondepository Credit Intermediation",Real Estate Services,0.1780,confident,0.1780476388296623,0.117740521596742,,
"The company's main focus is on food and cooking. They believe that food is an essential part of the brain behind the eyes and ears. The company is passionate about food, which is fueled by passion and passion. Their passion is centered around food.","['Car Uv-related Products', 'Camera Ultrasonic', 'UV Products Manufacturer', 'Mobile Application Development', 'ISO Certification', 'Mobile App Development Services', 'Self-service Online Beauty Products', 'Camera Uv Black', 'Uv+ Vacuum Power', 'Software Development Services for Beauty Industry', 'Online Retail', 'Environmentally Friendly Practices']",Manufacturing,Fabricated Rubber Products,Synthetic Rubber Manufacturing,Software Development Services; Rubber Manufacturing,0.1746; 0.1655,confident,0.1746330887610045,0.0091057369725399,,
"The company specializes in providing a wide range of high-quality building materials for the construction industry. They offer services such as engineering system design, equipment rental, and supply of medical equipment. They are a reliable partner for the supply of construction materials for any size and complexity of projects. The company also provides consulting services based on experience and the creation of custom-made equipment.","['Medical Equipment Rental', 'Consultation Services', 'Logo Design Services', 'Corporate Website Development', 'Banner Design Services', 'Customization Services', 'Banner Printing', 'Stationery Design Services Provider', 'Sticker Printing Services Manufacturer', 'Custom Website Design and Development Services']",Manufacturing,Building Material Manufacturers,Prefabricated Metal Building and Component Manufacturing,Website Development Services; Interior Design Services; Printing Services,0.1730; 0.1620; 0.1542,confident,0.1730071424070482,0.0110150819594073,,
"Viêt Tâm Food is a Vietnamese company that specializes in the production and distribution of organic food products. Their product line includes fresh and processed fruits, vegetables, meat, fish, poultry, and other agricultural products. They offer a variety of products such as fresh produce, dried fruits, dried vegetables, fresh meat, fresh fish, and processed products. The company aims to meet the growing demand for safe and high-quality food products, which are increasingly being used in the food industry due to the increasing demand for such products worldwide and in Vietnam. Viêt tâm food also provides a platform for Vietnamese farmers to export their products to the EU market.","['Agricultural Pulses', 'Lentils', 'Agricultural Spices', 'Agricultural Rice', 'Legumes', 'Agricultural Products Exporter', 'Agricultural Buds', 'Agricultural Commodities Trading', 'Agricultural Oils', 'Trading Company', 'Agricultural Nuts', 'Grain Crops', 'Agricultural Seeds', 'Food Flours', 'Agricultural Chickpeas', 'Fruit Crops']",Manufacturing,Fruit & Vegetable - Markets & Stores,Dried and Dehydrated Food Manufacturing,Agricultural Equipment Services; Agricultural Machinery Installation,0.1642; 0.1438,confident,0.1642052398776121,0.0203797437221079,,
"BioFlavid is a company that specializes in providing products and services for coffee roasters and sausages. They offer a range of solutions for roasting, cleaning, and packaging for the food industry, with a focus on preserving and improving the quality of the final product. Their products include roasters for health and wellness, as well as roasting systems for controlling and distributing cell volume. BioFlavid also offers cleaning services for roasters, with the aim of improving their efficiency and durability. The company emphasizes the importance of maintaining the quality and taste of roasters in roasting and packaging, and offers a variety of products to meet the needs of different types of roasting.","['Blood Testing Services', 'Information Services Provider', 'Carpet Dyeing', 'Mattress Cleaning', 'Leather Cleaning', 'Stain Removal Services', 'Green Carpet Cleaning Supplies', 'Blood Glucose Level Monitoring', 'Upholic Cleaning Services', 'Health Information Provider', 'Blood Sugar Regulation Services', 'Upholstery Cleaning']",Manufacturing,Pharmaceutical Products,Biological Product (except Diagnostic) Manufacturing,Building Cleaning Services; Street Cleaning Operations,0.1616; 0.1463,confident,0.161627147361216,0.0153266823726243,,
"Antonín Chrapan is a company based in Lenora, Šumava that specializes in the production and sale of glass products and services. They offer a range of services including glass grinding, repairs, and refinement of glass, as well as custom-made grinding glass products, creating letterings on glass, and producing hand-cut glass for everyday use. Their products include drink glasses with fine matt grind, ground polished lead glass, finishing by sandblasting, engraving, and decoration with burning decals. They also offer a variety of glass gifts such as wedding cups, vases, half-liter bottles, castings, goblets, flutes, trays, and plates. The company aims to produce affordable hand-crafted glass products that can be used in everyday activities such as putting flowers into vases and drinking from cut glasses.","['Flute Instruments', 'Burning Decals', 'Wedding Cups', 'Food Trays', 'Glass Lettering Services', 'Sandblasting and Finishing', 'Plates', 'Engraving Services', 'Drink Glasses with Fine Matt Grind', 'Glass Grinding Customization System', 'Trimmed Colored Glass', '2-liter Bottles', 'Castings Production', 'Goblets', 'Ground Polished Lead Glass']",Manufacturing,Glass & Mirror Stores,Other Pressed and Blown Glass and Glassware Manufacturing,High-Rise Glass Installation; Low-Rise Glass Installation,0.1542; 0.1457,confident,0.1541949917766102,0.0084795268987862,,
"Shaanxi Wosin Mechanical and Electrical Engineering Co., Ltd is a Chinese company that specializes in the research and development of building automation technologies, with a focus on green environmental protection, intelligent systems software development and application, building automation control system software, workplace management automation, power energy monitoring system, and urban heat supply system real-time monitoring and management method. The company is a key regional agent for Siemens PLC (China) industrial production business sector, building high-tech group companies specific products and one of electric butterfly valves sui technology product R&D specialist manufacturing enterprises. Their main products include Siemens building control systems, regulator valves, actuators, sensors, thermostats, controllers, intelligent lighting systems, PLC's, process instruments, and combustion accessories.","['Combustion Equipment', 'Energy Management System', 'Installation Services', 'Urban Heat Supply System', 'Software Development of Intelligent Systems', 'Research and Development', 'Power Monitoring and Management Systems', 'Professional Pre-sale Service System', 'Learning Training', 'Process Instruments', 'Electrical And Engineering', 'Intelligent Lighting Systems', 'After-sales Maintenance Services', 'Workplace Management Automation', 'Passenger Elevator Agent Platform', 'Siemens Actuators', 'Hikvision Screens and Panels', 'Building Automation Control System Engineering Software']",Manufacturing,Industrial Air Solutions,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",Software Development Services,0.1522,confident,0.1521869761505764,0.0243847705517438,,
"Prasad Medical is a medical center located in Chennai, Tamil Nādu, India.","['Medical Centers', 'General Hospitals', 'Medical Consultations', 'Medical Equipment Supplier', 'Healthcare Services', 'Medical Treatments']",Services,Clinics - Surgeons & Physicians,General Medical and Surgical Hospitals,Medical Gas Installation Services,0.1520,confident,0.15203022371061,0.0974209325670986,,
"Yangzhou Sungln Sports Products Co., Ltd. is a manufacturer and trading company based in China that specializes in the production and export of neoprene products. They offer a wide range of neobrene fabrics, including neoprenes, neopreas, polyester neopreses, perforated neopretes, printed neopens, neuprene, nylon, embossed neoperettes, neaprene spendex, protective gear neoprets, and hip bands. The company has a total of 11-50 employees and produces 586 products, including high-quality neopreen lamination, neeprene punching, neiprene embossing, and spreading neopene sheets. They also offer eco-friendly and windproof neoprinted neuprenes made from recycled materials.","['Contract Manufacturing OEM Service', 'Trading Services', 'Research and Development', 'Sports Equipment Manufacturing', 'Hip Bands', 'Manufacturing Services', 'Neoprene Shiny Fabric']",Manufacturing,Plastics Products,Synthetic Rubber Manufacturing,Rubber Manufacturing,0.1499,confident,0.1499135773575277,0.0814155440059619,,
"Golden Limousine International is a company that offers executive and leisure chauffeured ground transportation services for groups and individuals in North America, Europe, and Asia. They provide a variety of vehicles including sedans, limousines, vans, SUVs, corporate mobile offices, and motor coaches. The company is known for its high level of customer service and attention to detail.","['Limousine Service', 'Online Booking Platform', 'Chauffeured Ground Transportation', 'Travel and Leisure Services', 'Sedan Vehicles', 'Van Vehicles', 'Coach Vehicles', 'Corporate Travel Services', 'Mobile Offices Transportation']",Services,Limousines,Limousine Service,Travel Services,0.1499,confident,0.1498864033731325,0.091649992588154,,
"Global Food Networking Inc is a company that specializes in marketing and trading in food products such as cocoa beans, coffee beans, fresh tuna, live seafood, frozen lobsters, dry foodstuff, and seafood. Their supply chain includes farmers, fishers, and primary and secondary food processors, and they offer both bulk and packaged foods. The company provides organic, conventional, fair trade, and HACCP compliant food items.","['Networking Facilitation', 'Food and Beverage Businesses Networking', 'Network Building Services']",Wholesale,"Meat, Fish & Seafood Stores",Fish and Seafood Merchant Wholesalers,Seafood Processing Services,0.1489,confident,0.1489208648187458,0.0526160773875515,,
"Sacramento Fence rentals is a company based in Sacramento, CA that offers affordable fence rentals to the Sacramento and surrounding areas. They provide temporary fence rentals for events and construction sites, allowing customers to provide a solid barrier without the need for a permanent structure. The company offers a variety of fence types and materials to choose from, all of which offer security for the purpose of the rental. The cost of renting a temporary fence varies depending on factors such as the type of fence, height, and length needed, as well as the length of time the rental period and any additional equipment that will be put up during the rental, such as posts. The most common types of temporary construction fence available in the market include fencing panels, which resemble chain-link fencing but without the trouble of all the installation.","['Rental Services', 'Construction Services', 'Vinyl Fences', 'Chain-Link Fences']",Services,Concrete Work,All Other Specialty Trade Contractors,Fencing Construction Services,0.1469,confident,0.1468617373785392,0.0970656579201717,,
The company is a business analyst and English translator that provides neutral and neutral language services. They offer translation and interpretation services to their clients.,"['Architecture Project Management', 'Architectural Design Services']",Manufacturing,Fastener Suppliers,"Fastener, Button, Needle, and Pin Manufacturing",Project Management Services,0.1446,confident,0.1445776912127492,0.0721913637066746,,
"Lycronis is a company that offers a wide range of products, including kitchen essentials, home tools and decor, skiing and snowboarding equipment, and fishing equipment. They aim to provide customers with a pleasant shopping experience by offering high-quality products, exceptional customer service, and affordable prices. The company is dedicated to providing personalized recommendations and answering any questions customers may have. They prioritize convenience by offering fast and free shipping on all orders, along with hassle-free returns and exchanges within 30 days of purchase. Lycronus also offers secure payment options and a customer support team available seven days a week. They accept worldwide shipping, including overseas, and provide free shipping for all orders.","['Multifunctional Fishing Bags', 'Silicone Pot Strainer', 'Skiing Equipment', 'Home Decor and Tools', 'Kitchen Essentials', 'ACU Digital Desert Digital Italian Camouflage']",Manufacturing,Fabricated Rubber Products,Synthetic Rubber Manufacturing,Rubber Manufacturing,0.1382,confident,0.1381947215525608,0.0849535213456119,,
"Ecosistema is a company that designs and manages actions, tools, and structures for the conservation of biodiversity and the sustainable use of natural resources in socio-economic development processes. The company is structured into themed sectors that provide specialized services. Ecosistera also offers educational courses and seminars to teachers and school leaders on pedagogical, interpretive techniques, and naturalistic content.","['Cooperative Society', 'Socio-economic Development Services', 'Biodiversity Conservation Services', 'Sustainable Use of Natural Resources Services', 'Environmental and Naturalistic Planning Services', 'Project Development and Financing Services', 'Geological Exploration Services', 'Naturalistic and Geological Exploration', 'Applied Research Services', 'Ecotourism Services', 'Interpretive Techniques Courses', 'Thematic Courses', 'Training Services', 'Communication, Education, and The Environment Services', 'Consultancy Services', 'IT/TEAM Solutions for The Environment Services']",Services,Environmental Engineering Services,Environmental Consulting Services,Environmental Consulting,0.1370,confident,0.1370081778080136,0.0306629323023843,,
"Sannyic is an e-commerce company that specializes in the production and sales of environmentally friendly household products. They offer a wide range of products, including felt furniture pads for hardwood floors, slim minimalist wallets, and cleaning products. Their products are suitable for various applications, such as personal protection, washing products, outdoor activities, gifts, tourism, and hotels. Sannyic has professional non-woven technical support and product supply chain, and their products can be used in different industries such as Janitorial & Sanitation, Food Services & Paper, Hospital & Health Care, as well as Commercial & Construction. The company is committed to providing high-quality products and services, and they value integrity, quality, innovation, service, and speed.","['Customized Packaging and Labeling Solutions', 'Customization Services', 'Research and Development', 'Supply Chain & Manufacturing', 'OEM/ODM Services', 'Felt Furniture Pads for Hardwood Floors', 'Professional Non-woven Technical Support', 'Environmentally Friendly Products', 'Special Sizes, Colors, and Matches', 'Custom Orders', 'Private Labeling Services', 'E-commerce Company']",Manufacturing,Fabric-Based Home Goods,Nonwoven Fabric Mills,E-Commerce Services,0.1312,confident,0.1311670750748605,0.036723178404821,,
"Orbis Structurals is a company established by experienced structural and geotechnical engineers with a strong reputation in the infrastructure development industry. They have worked with renowned architects and industrial clients, providing efficient and optimal solutions to tackle engineering challenges. Their services include structural design of RCC high-raised, commercial, and residential buildings, as well as the design and construction of prefabricated steel structures, space frames, bridges, and towers. They also offer transportation engineering solutions to ensure efficient and safe movement of people and goods within communities.","['Geotechnical Engineering Services for Construction', 'Foundation Retaining Structures', 'Laboratory Testing', 'Infrastructure Industry', 'Vane Shear Tests', 'Space Frame Structures', 'Optimal and Efficient Solutions', 'Prefabricated Steel Structures', 'Bridges and Towers', 'High-rise Steel & RCC Buildings', 'Structural Design', 'Infrastructure Development Services', 'Sonic Pile Integrity Test', 'Structural Engineering Services', 'Transportation Technology Solutions', 'Subsoil Investigation Services', 'Residential Building Design', 'Cone Penetration Testing']",Services,Other Engineering Services,Engineering Services,Structural Steel Erection,0.1283,confident,0.1282801732890236,0.0300954145726895,,
"WISS Feuerwehrfahrzeuge is a company that has been operating in the fire department vehicle sector for over 30 years. They offer a large portfolio of vehicles that can be customized to meet the specific needs and wishes of their customers, whether for professional or volunteer fire departments, factory protection, or airports. WISS works closely with their customers to design custom-made vehicles and provide individual problem-solving solutions. They are a subsidiary of WISS Bielsko-Biala, one of the leading manufacturers of fire department vehicles in Europe and worldwide, and have over 70 years of experience in the industry. Additionally, they are a manufacturer of fire extinguisher cylinders, high-pressure extinguishers, and pressure chamber systems.","['High-pressure Fire Extinguishers Manufacturer', 'Pressurized Filtration Units Manufacturer', 'Customized Problem-solving Solutions', 'Custom-built Fire Trucks Manufacturer', 'Fire Pumps Manufacturer', 'Hub Rescue Stations Manufacturer', 'Vehicle Customization']",Manufacturing,Automobile Dealers & Manufacturers,Heavy Duty Truck Manufacturing,Fire Protection System Services; Fire Safety Equipment Services,0.1279; 0.1229,confident,0.1279230828976431,0.0050015756555562,,
"Hogar la Sonrisa de los Niños A.C. is a non-profit organization located in Andrade, Spain that provides care for children from dysfunctional families, single mothers, and parents with drug addiction, prostitution, vandalism, and lack of resources. The organization currently serves 110 children and aims to integrate them into society by providing them with a healthy and loving environment, a balanced diet, medical care, clothing, shoes, and school support. Hogar la sonrisa a.c. seeks to form these children with values, education, and self-esteem to benefit society and prevent future criminal behavior. The institution also hosts holiday parties to promote inner peace and well-being for the children and their families. The children are provided with warm clothing, bedding, Christmas and New Year's decorations, and visits from Santa Claus.","['Self-esteem Promotion', 'Human Dignity Promotion', 'Medical Attention', 'Primary Children Support', 'Psychological Support', 'Clothing Provision', 'Pediatric Care', 'Shoes Provision', 'Maternal Care Services', 'Balanced Nutrition', 'Childcare Services']",Non Profit,Social Services & NGOs,Civic and Social Organizations,Children's Clothing Manufacturing,0.1272,confident,0.1272406747137632,0.0510410842135516,,
"Radio Baranja is a Croatian radio station that provides news and information to its listeners. The station covers a range of topics including politics, economy, sports, culture, music, and top lists. It also reports on current events and activities in the Baranje region, such as the construction of a cultural center in Belom Manastiru and the opening of a new parking lot in Belog Manastira. Additionally, Radio Baranija provides updates on the latest developments in the region, including the construction and development of new parking facilities and the expansion of tourism activities.","['Top 10 Lists', 'Marketing Analysis', 'Information Boxes', 'Culture Analysis', 'Political Analysis', 'Sports Analysis', 'Music Analysis', 'Live Services', 'Investment Opportunities in Europe', 'Media and Publishing']",Services,Radio Networks & Stations,Radio Broadcasting Stations,Data Analysis Services; Publishing Services,0.1160; 0.1070,confident,0.1159650897739508,0.0090141814029369,,
"Tung Ho Textile is a Taiwanese company that specializes in manufacturing functional spun yarn. With over six decades of experience in the spinning business, they are a leading manufacturer in the industry. Their advanced spinning and processing technologies enable them to create high-quality products with features such as low hairiness, anti-pilling, good hand feeling, multi-color, and multi-function. Tung Ho is dedicated to bringing innovative products that enhance performance and continuously introduces new offerings to meet customer needs.","['Textile Manufacturing', 'Anti-pilling', 'Antibacterial Deodorizer', 'Anti Bacterial', 'Skin Comfort', 'ESG Reporting', 'Environmentally Friendly Short Fiber Textiles', 'Functional Applications', 'Temperature Adjustment', 'Polyester Series', 'Raw Material Procurement for Textiles', 'Intelligent Management Solutions', 'Brand Agent', 'Spinning Processing Technology Solutions', 'Total Protection', 'Companion Cloth', 'Stitching Wire Exporter', 'Quick Drying', 'Natural Fibers', 'Advanced Manufacturing Technology', 'Lyocell Series', 'Viscose Series', 'Functional Spindle Threads', 'Mechanical Stretch', 'Skin Care', 'Good Hand Feeling', 'Color Multifunctions', 'Acrylic Series', 'Functional Yarns Manufacturer']",Manufacturing,Fabric-Based Home Goods,"Fiber, Yarn, and Thread Mills",Textile Manufacturing Services,0.1143,confident,0.1142786794823829,0.0811484907638303,,
"Laticínios Coalhada's is a Brazilian dairy company that produces a variety of dairy products, including cheese, milk creams, cottage cheese, cheese with salt, and cheese with reduced lactose for diets with lactose restrictions. The company is committed to promoting the well-being of society and supports various gastronomic, cultural, and sports projects. Coalhadas is known for its high-quality products and has a well-trained team that ensures safe and healthy food for consumers.","['Fluid Milk Industry', 'Food Production', 'Food Manufacturing', 'Salted Butter', 'Lactose-free Cheese', 'Chicken Skewers with Cheese Cream', 'Ricotta Cream', 'Dairy Products Retailer', 'Cottage Cheese']",Manufacturing,Dairy Products - Farms & Stores,Fluid Milk Manufacturing,Dairy Production Services,0.1114,confident,0.1114303412573975,0.04803469565219,,
