description,business_tags,sector,category,niche,insurance_label,insurance_label_scores,pred_status,top1_score,gap_top1_top2,human_ok,notes
"Sin Kong Fatt Trading Sdn Bhd is a company based in Bau, Sarawak, Malaysia. It operates as a stationery store.",[],Retail,Office Supplies,Office Supplies and Stationery Retailers,Stationery Manufacturing,0.2106,confident,0.2106252285518902,0.1967341614779446,,
"Hunter Decoy, also known as hunterdecoy, is a company that specializes in creating a decoy designed to enhance the hunting experience for hunters. The company spent over two years perfecting the decoy to ensure it is a must-have for serious hunters.","['Pop up Blind Decoys Producer', 'Tree Stand Decoys', 'Bear Hunting Decoys', 'Hunting Equipment Manufacturing', 'Big Game Decoys']",Manufacturing,Fish Farms,Hunting and Trapping,Fishing and Hunting Services,0.1904,confident,0.1903993415619609,0.1527058482311692,,
"Southern Star Central Gas Pipeline Inc. is a natural gas transportation company that operates approximately 5,800 miles of natural gas transmission pipeline in the Midwest and Mid-Continent regions of the United States. The company was formed in 2003 and has since become a leading provider of clean, safe, and reliable energy to the communities it serves. Southern Star is committed to sustainability and works towards this goal through responsible environmental, social, and governance practices. The pipeline company has a rich history dating back to the turn of the twentieth century when explorers discovered natural gas with oil and began transporting it across the country. Today, Southern Star continues to meet the growing demand for sustainable energy and is positioned to meet future energy needs.","['Interstate Gas Transmission', 'Gas System Modernization', 'Natural Gas Transportation', 'Pipeline Integrity Services', 'Energy Infrastructure', 'Pipeline Facility Management', 'Energy Transmission Services', 'Natural Gas Storage', 'Gas Pipeline Operations', 'Gas Compression Services', 'Regulated Gas Utility']",Wholesale,Oil & Gas - Extraction & Distribution,Pipeline Transportation of Natural Gas,Gas Manufacturing Services; Pipeline Construction Services,0.1889; 0.1670,confident,0.1889460303694748,0.0219729132062084,,
"Thermo-Dyne is a manufacturers representative company based in Minneapolis, Minnesota that specializes in providing innovative and cost-efficient solutions for complex HVAC projects. With over 45 years of experience, they offer a wide range of engineered products for commercial, institutional, and industrial heating, ventilating, and air conditioning (Hvac) markets. Their team of highly-trained employees and owners have over 100 years of combined experience in the application, installation, and service of mechanical systems, dedicated to creating comfortable indoor air environments year-round. Thermo-dyne offers customized HVAG solutions for air conditioning, refrigeration, heating, and ventilation needs. They are committed to providing quality products that are engineered and selected to create optimal indoor air conditions.","['High-end Heating and Air-conditioning Markets', 'Mechanical System Design and Installation Services', 'Customized HVAC Solutions', 'Indoor Air Quality Optimization', 'Manufacturers Representative', 'Commercial Engineering Services']",Manufacturing,Industrial Air Solutions,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,HVAC Installation and Service,0.1874,confident,0.1874246817779736,0.062262870753616,,
"Culture of Java is a company that focuses on the Indonesian language and culture. They have presented a play called ""Parikesit Jumeneng Ratu"" by Ki Enthus Susmono, which tells the story of Parikesit being made Queen in Asti. The play features a storyline, jokes, and satire integrated into each dialogue between characters.","['Non-profit Organization', 'Cultural Heritage Preservation', 'Cultural Organization', 'Storytelling Performances', 'Non-profit Cultural Organization for Java']",Non Profit,Churches & Religious Organizations,Religious Organizations,Non-Profit Management,0.1787,confident,0.1786569575967611,0.1339470680677988,,
"Intrachem Limited is a Nigerian company that specializes in company registration and business registration services. They offer a range of services related to company formation and registration, including obtaining a company license and registering with relevant authorities.","['Corporate Registry Services', 'Registration Services', 'Legal Services']",Manufacturing,Chemicals,All Other Basic Organic Chemical Manufacturing,Legal Services; Chemical Manufacturing,0.1767; 0.1640,confident,0.1767299822457418,0.0127534779146675,,
"Qonrad Media is a company that specializes in video production and editing services. They offer a range of services including feature and documentary videos, promotional and aftermovies, animation, photo and graphics, and writing and directing. They have worked on various projects such as ""Extraordinary Ordinary People,"" ""2 Wrongs,"" ""Easter Weekend,"" ""Fresh Fridays,"" ""Target Events,"" ""Do not sleep!,"" ""Wreck Race,"" ""Bingo Heist,"" ""Halloween,"" ""Garden Party,"" ""Firing Ground,"" ""Rafting,"" ""Ball,"" ""Techno Rave,"" ""Tion Wayne,"" ""Jacob,"" ""Loving You,"" ""Children's Day,"" ""Steakhouse,"" and ""Mama.""","['Aftermovie and Promotional Video Production', 'Video Production Services', 'Garden Party 2', 'Media Production Services', 'Animation Services', 'Easter Weekender', '2 Wrongs Trailer', 'Editing Showreel 2020', 'Graphic Design Services', 'Fresh Fridays', 'Targeted Events', 'Steakhouses', 'Wreck Racing', 'Mother', 'Halloween Fun', 'Tiktok and Instagram Reels', 'Photography Services', 'Directing And Writing', 'Childrens Day', 'Techno Rave', 'Bingo Heist', 'Feature Documentary Production', 'Loving You']",Services,Video and Audio Production,Motion Picture and Video Distribution,Media Production Services,0.1752,confident,0.1752473485449207,0.0603583973905739,,
"The National Tribal Healthy Homes Assessment, Training & Technical Assistance Support Center is a program of Montana State University Extension, Housing and Environmental Health Program, funded by the U.S. Department of Housing and Urban Development. It is a partnership between the MSU Extension Housing & Environmental Health program and the Native American Housing Technical Assistance Institute, with the aim of increasing family and community wellness among Native American tribes. The center integrates elements of the existing National Center for Healthy Housing and the Usda/Hud Healthy Homes Partnership program to help tribal communities assess homes for common indoor health hazards such as mold and moisture, carbon monoxide, household chemicals, unsafe drinking water, lead, asbestos, pesticides, radon, dust and dust mites, allergens, asthma triggers, and fire and safety hazards and septic systems. The program offers training and technical assistance to all 562 federally-recognized tribes via national, state, and local tribal partners, as well as interested community agencies and health professionals.","['Tribal Curriculum Development', 'Training Opportunities for Tribal Housing Authorities', 'Non-profit Organization', 'Home Assessments', 'Native American Media', 'Occupant and Youth Targeted Educational Material', 'Technical Assistance for Indoor Health Hazards', 'Multi-day Healthy Homes Trainings', 'Housing and Environmental Health Program']",Services,Housing Programs,Other Community Housing Services,Environmental Health Services,0.1628,confident,0.1627972051254179,0.0964864408524662,,
"Asrama Polisi Sendang Mulyo Blok C18 is an apartment building located in Semarang, Central Java, Indonesia.",['Residential Property Development'],Services,Real Estate Rental,Lessors of Residential Buildings and Dwellings,Real Estate Services,0.1602,confident,0.1602178918130071,0.0581979016259563,,
"The Ministry of Agriculture of the Republic of Azerbaijan is the central executive body of the country's agricultural sector. It is responsible for implementing state policies in the production and processing of agricultural products, providing essential services to producers, veterinary, plant protection and quarantine, and efficient use of land. The Ministry coordinates and oversees various Agro Services Agency, Agro Credit and Development Agency, Agricultural Research Center, Agrarian Science and Innovation Center, State Seed Fund, Republican Artificial Insemination Center, and other related organizations. The ministry also oversees the activities of several Agricultural Production and Processing Union LLCs, State Agro Trade Company LLC, Green Park Azerbaijan LLC, and Regional Agricultural Development Centers. The organization was re-arranged in accordance with the Order of the President of the Azerbaijan Republic and has several central executive authorities.","['Agricultural Sector Regulation', 'Agriculture Economic Activity', 'Food Security Enhancement', 'Agricultural Trade Facilitation', 'Farm Productivity Initiatives', 'Rural Development Programs', 'Crop Production Support', 'Agriculture Sustainability Efforts', 'Agricultural Policy Development', 'Livestock Industry Oversight', 'Agricultural Technology Advancement', 'Agricultural Subsidies Management', 'Agricultural Research Promotion', 'Agricultural Education and Training', 'Agriculture-related Legislation']",Government,"Executive, Legislative & Government Institutions",Regulation of Agricultural Marketing and Commodities,Agricultural Equipment Services; Agricultural Machinery Installation,0.1585; 0.1500,confident,0.158528984292883,0.0085326590608742,,
"They offer a variety of products, including vertical rollable aluminum mosquito nets that are designed for all types of windows and balconies. These nets are easy to install and disassemble, using a simple ladder, latches, and screws. The company also offers a range of colors to match the aesthetics of the windows and balcony. The nets are designed to protect homes from mosquitoes and provide a physical barrier against harmful insects.","['Mosquites for Windows and Balconies', 'Fiberglass with Grassy Tones', 'Manufacturing', 'Retail', 'Aluminum Profiles']",Manufacturing,Aluminum Processing & Products,"Other Aluminum Rolling, Drawing, and Extruding",Windows and Doors Installation,0.1475,confident,0.1475284527831533,0.1108231918134338,,
Silverstein is a company that specializes in interdisciplinary design and behavioral research. They focus on applying behavioral science to create optimal human experiences.,"['Research-focused Experience Design Services', 'Design Research', 'Human Understanding']",Education,Educational Consultants,Educational Support Services,Interior Design Services; Graphic Design Services,0.1463; 0.1435,confident,0.1463478500532941,0.0028922143538089,,
"Hydro-ECO is a company that specializes in the production and sale of non-woven wallpaper, a glass fiber-based, non-weaveable wall covering. Their painting nonwoven material is a special material used for the renovation and refurbishment of walls and ceilings. The materials are used to reinforce plastered surfaces such as plaster and concrete, and are suitable for both indoor and outdoor use. The company has expanded its product portfolio to include accessories for sanitary installations, ground source heat pumps, air sources, ventilation systems, recuperators, and climate control units. They have also added manufacturing technologies and materials, as well as spray insulation services. Hydro ECO is the largest supplier of nonwound wallpaper in Poland and has its own machinery that forms rolls with different sizes for packaging. Their products are waterproof, weatherproof, and not flammable.","['Boiler Installation Services', 'Special Glass Fibers for Wall Coverings', 'White Paint Nonwoven on Rolls', 'Air Source', 'Ground Source Heat Pump', 'Manufacturing Technology', 'Spray on Insulation Services', 'Fiber Glass Wallcovering Manufacturer', 'Sanitary Accessories Installation', 'Climate Controlled Units', 'Ventilation Systems', 'Non-woven Wallcoverings']",Manufacturing,"Marble, Granite & Stone Products",Gypsum Product Manufacturing,Insulation Services,0.1411,confident,0.1411269567800256,0.0311056613137061,,
"Reach and Make Millions is a company that specializes in providing business and technology advice to Holistic Coaches and Online Entrepreneurs. They offer guidance on how to build a successful online business by helping clients map out their business action plan, create a website that attracts ideal clients, launch programs and product ideas online, and create a thriving online business. Their business curriculum covers various aspects such as website design and development, branding, copywriting, sales funnel design and optimization, systems and automation, and analytical software implementation. Reach and Make Million.com is a free platform that frequently updates its website, which attracts thousands of weekly viewers.","['Workshop Series', 'Analytic Software Implementation Services', 'Business Curriculum Development', 'Done-for-you System', 'Workloads Worksheet', 'Digital Marketing Agencies', 'Business Action Plans', 'Workload Management Services', 'Branding Services', 'Online Business Coaching', 'Copywriting Services', 'Sales Funnel Optimization', 'Automation Implementation Services', 'Website Development Services', 'Team Member Selection and Qualification', 'CEO Transition', 'Holistic Coaching', 'Product Launch Assistance']",Services,Employment Agencies & HR Consulting,Employment Placement Agencies,Website Development Services; Branding Services,0.1409; 0.1405,confident,0.1409443378862928,0.000414635435559,,
"𝐖�𝐚𝐞𝐭𝐫𝐥𝐸𝐤𝐶"" is a water gun shop that specializes in providing high-quality water guns for water enthusiasts. They offer a selection of water pistols designed to enhance the fun and excitement of water play. The company ensures fast shipping with a delivery time of 5-15 days and offers well-protected packaging for their products.",['Water Guns for Water Toy Enthusiasts'],Manufacturing,Gun shop,Small Arms Ammunition Manufacturing,Water Treatment Services,0.1383,confident,0.1383213191108178,0.0913685613436341,,
"Grupo DOS, Servicios Computacionales is a company that specializes in providing high-level IT and computer services. They offer a range of services to their clients and are known for their expertise in the field.","['Telecommunications Equipment Supplier', 'System Design Services', 'Computer Support Services', 'Computer Systems Security Services', 'Website Development Services', 'ITECH Services', 'Consulting Services', 'Computer and IT Services']",Services,Computer Repair & Service,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",Website Development Services; Consulting Services,0.1373; 0.1298,confident,0.137323217955954,0.0075198668672215,,
The company is a volunteer-based organization that focuses on collecting donations of oxygen and plasma. Their mission is to save lives through their efforts.,"['Volunteer-based Organization', 'Blood Donation Services', 'Plasma Donation Services']",Services,Blood Banks & Donation Centers,Blood and Organ Banks,Volunteer Services,0.1362,confident,0.1361916532740481,0.1259141903758317,,
"Tunahanlılar Geri Dönüşüm is a Turkish company that specializes in recycling packaging waste, minerals, and metals in accordance with regulations without damaging the environment. The company operates within a framework of discipline and principles and has become a leader in the metal industry by being part of both import and export structures in Turkey's economy. They offer services such as recycling, demolition, and separation, as well as production and manufacturing of spare parts for machinery and equipment. Tunahanlílar also provides design and manufacturing services for various products such as barrel furniture, wooden decorations, metal paintings, and printed-ball clock parts. The organization holds two warehouses and provides expertise and brokerage services both inside and outside the city. They are committed to sustainable development and are open to innovations alongside technology.","['Demolition and Dismantling of Structures', 'Foreign Products', 'Wooden Decorations', 'Barrel Furniture', 'Waste Management Services', 'Printed-ball Clock Parts', 'Reccling', 'Mobile-friendly Website Design', 'Manufacturing Services', 'Recycling and Processing of Waste Packaging']",Manufacturing,Scrap Metals,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",Recycling Services; Waste Management Services,0.1317; 0.1241,confident,0.1317296153025091,0.0076643733729252,,
"The company is a limited liability partnership that specializes in the production and sale of various products, including metal cable manufacturing, ice box cleaning, beverages, water supply facilities, light fittings, sports equipment, electronic components, metal cable production, chemicals, and hydraulic machinery. They have been approved by the Ministry of Commerce for certain projects and are planning to expand their operations in this field.","['Water Facilities', 'Light Fittings', 'Pressure Vessel', 'Ice Box Cleaning Services', 'Chemical Substances', 'Sheet Metal Parts Manufacturing']",Manufacturing,Cables & Wires,Other Communication and Energy Wire Manufacturing,Sheet Metal Services; Ice Production Services,0.1315; 0.1305,confident,0.1315314279703065,0.0010631417516429,,
"Friends of Ritchie Parkette is a group of citizens who advocate for and celebrate the local parkette community. They organize various events and activities, such as plant a butterfly and wild flower garden, hold egg hunts, and participate in public art projects, including the Ritchie Avenue Art (Noise) Wall Public Consultation. They also organize events like the Halloween Carnival and the Noise Wall Art Mural Project, which is an outdoor art competition aimed at creating a noise wall art mural along the green space at the foot of Ritch Avenue in Toronto.","['Community Engagement', 'Community Consultation', 'Community Advocacy and Celebration', 'Public Mural Creation']",Services,Parks,Nature Parks and Other Similar Institutions,Community Engagement Services,0.1313,confident,0.1312694426603027,0.0764555688070568,,
"Bess and Company is a medical equipment and supplies company located in Sevierville, Tennessee. They offer a range of services including equipment rentals such as knee walkers, walkers and oxygen concentrators, bathroom safety equipment, hospital beds and bedrooms, hospital bed and bedroom accessories, and mobility aids such as lightweight and standard wheelchairs. Additionally, they provide medical aids and supplies including bandages, tape, compression hosiery, electrotherapy, CPAP, oxygen, and nebulizers.","['Standard Wheelchairs', 'Medical Equipment Rental', 'Hospital Bed Accessories', 'Medical Supplies', 'Lightweight Wheelchairs', 'Medical Rollators', 'Medical Bandages', 'Mobility Devices', 'Bathroom Safety Equipment']",,,Home Health Equipment Rental,Fire Safety Equipment Services,0.1283,confident,0.1282869887131666,0.0366895611738219,,
"The Guangdong Provincial Dietetic Food Purchasing Department is a government department in Guangdao Province, China that focuses on the development of small and medium-sized enterprises (SMEs) in the food and beverage industry. The department is responsible for the development and implementation of policies and regulations related to food and drink procurement, including food and beverages. The main goal of the department is to promote and support the growth of small, medium, and large-sized businesses in the industry. They aim to improve the quality of the industry and provide a platform for the growth and development of local businesses. The division is located in the central region of Guangduo Province and is overseen by the Ministry of Enterprise.","['Business Development Services', 'Plastic Recycling Services', 'Small Business Support', 'Regulatory Compliance Resources', 'Business Improvement Initiatives Implementation', 'Business Support Services', 'Target Achievement', 'Corporate Quality Enhancement', 'Corporate Social Responsibility Initiatives', 'Productive Product Structures', 'Corporate Culture Development', 'High-level Competitive Advantage', 'International Market Expansion']",Government,"Executive, Legislative & Government Institutions",Administration of General Economic Programs,Business Development Services,0.1280,confident,0.1280176516873991,0.0419935458726142,,
"Grand-Agro is a company based in Azerbaijan that specializes in the cultivation and production of olive and almond trees. They have the largest orchard in the country and offer a variety of products such as olive oil, table olives, and extra virgin olive oil. The company prides itself on providing abundant fruits from their own orchards and has made the earth a place of great joy. Grand-Agrovro has started the construction of a new olive and oil production complex and has planted over a million trees. The olive grove is located in the middle of their orchids and they have won awards for their extra virgin oil.","['Water Purification Chemical Measurements', 'Agricultural Production', 'Food Production', 'Sunflower Oil Production', 'Oil Extraction', 'Almond Harvesting', 'Extra Virgin Olive Oils', 'Laboratory Services for Petrochemical Industry', 'Fruit and Vegetable Cultivation', 'Chemical Analysis Services for Petroleum Products', 'Petroleum Products Manufacturing']",Manufacturing,Edible oils manufacturing & distribution,Fats and Oils Refining and Blending,Oil and Fat Manufacturing,0.1256,confident,0.1255593597081851,0.0570567437283334,,
"Home Instead Caregivers is a non-medical organization that provides a variety of services to enhance the lives of aging adults in Lebanon and Palmyra, PA. They offer reliable and compassionate care at all levels, including specialty care for those with Parkinson's disease, arthritis, and Alzheimer's. Their commitment to quality in-home care is reflected in their unique CAREGiverSM training program, which they utilize to provide reliable and trustworthy caregivers who perform dozens of common household tasks. Home Instead Careguards SM represent a lifeline for families in the area and are dedicated to providing personalized care, building relationships, and enhancing the lives for senior citizens and their families.","['Non-profit Organization', 'Household Tasks', 'Specialty Care for Parkinsons Disease', 'Non-medical Senior Care Services', 'Transportation Services', 'Specialized Care for Alzheimers and Dementia', 'Dependable and Compassionate Care', 'Food Nutrition and Health Services', 'Personalized Care Services for Seniors']",Services,Home Health Care,Home Health Care Services,Animal Day Care Services,0.1250,confident,0.1250046382368746,0.0622084530173543,,
"Polytes is a company based in Patna, Bihar that specializes in manufacturing plastic water tanks, sintex water tanks and stainless steel water tanks.","['Manufacturing of Stainless Steel Tanks', 'Water Tanks Manufacturer']",Manufacturing,Metal Storage Tanks,Other Metal Container Manufacturing,Plastic Manufacturing,0.1180,confident,0.1179701606501089,0.025135991046153,,
"Borda Mais is a Spanish company that specializes in personalized textile embroidery services. They offer a wide range of embroideries for both individuals and businesses, with a focus on providing high-quality and durable products. With over 30 years of experience in the industry, Borda Maís prides itself on its attention to detail and customer satisfaction. They have a large number of ""multicabezales"" machines to handle large embroidering productions and offer a complete advisory service to ensure the best results for their clients. Borda mais is known for its innovative approach and commitment to providing superior quality finishes for all their customers.","['Embellishment Techniques', 'Personalization Services', 'Logo and Letter Visibility Enhancement', 'High-quality Finishes', 'Textile Printing and Embroidery Services', 'Multibrand Embellishing Machines', 'Durable Embellished Products', 'Quality Materials Selection', 'Personalized Textile Embellishments']",Manufacturing,Fabric-Based Home Goods,Narrow Fabric Mills and Schiffli Machine Embroidery,Textile Manufacturing Services,0.1157,confident,0.1156747966844507,0.0766450326278316,,
Escuela de Manejo Emmanuel 2 is a driver and vehicle licensing agency located in Panama's West region.,"['Legal Services', 'Driver Licensing Services', 'Comprehensive Training Programs', 'Driving Education Services', 'Drivers License Training', 'Driver and Vehicle Licensing Agency']",Services,Car Rental,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),Legal Services,0.1117,confident,0.111711556626689,0.0489806709139572,,
"Yekaterinburg Aeroclub DOSAF Russia is an aviation and sports club located in Yekaterina, Russia. The club is named after Hero of Soviet Union A.K. Serov and offers training flights in Yak-52 and L-13 ""Blanik"" gliders, as well as demonstration flights of Antonov An-2 gliders. The organization has a rich history of 90 years and is managed by the OJSC ""Ekaterinburger Aviation and Sports Club Dosasaf"". The club hosts events such as the annual ""Parashutist - Airman"" dive with its unchanged leader Gatnatullin Rashid Zinatulovich.","['L-13 Glider', 'Sports Services', 'Aviation Clubs', 'Skydiving Experiences', 'Training Courses for Skydivers', 'Yak-52 Training Flights']",Education,Flight Training,Flight Training,Training Services,0.1089,confident,0.1089385806258196,0.0251259718059275,,
"SciTech Central is a research institute located in Walnut, California, United States.","['Creative Commons License', 'National and International Journals', 'Expertise Enhancement', 'Publishing Research', 'Literature Provision', 'Open Access Publishing', 'Awareness Raising', 'Knowledge Dissemination', 'Open Accessible Science and Medicine', 'Awareness Creation', 'Manuscript Preparation', 'Science, Technology, and Medicine Open-access Content', 'Literature Supply to The Developing World', 'Open Access to Scientific Research', 'Quantum to Research Approach', 'Data Distribution']",Services,Newspapers & Magazines,Periodical Publishers,Publishing Services,0.1064,confident,0.1063706816211396,0.0259871599671333,,
"Delta Refractories, Inc. is a manufacturer and distributor of refractory maintenance materials for the metals and chemical process industries. Established in 1971, the company offers a wide range of proprietary shaped and prepackaged refractories products, including monolithic refractors, composite shapes, corrosion products, precast shapes, IFB's and firebrick, and seals and gaskets. Delta has a knowledgeable technical team that assists customers in designing refractoric and anchoring solutions for various types of high-temperature furnaces. The company also manufactures ceramic fiber modules and precast refractorial shapes for the Forge, Primary Metals, and Chemical/Hydrocarbon Processing Industries. Delta Refractors is committed to providing high-quality products and services to its customers.","['Hardware Manufacturers', 'Gaskets and Seals Manufacturer', 'Prefabricated Shapes', 'Ibr’s & Firebrick', 'Refractory Monolithics Manufacturer', 'Ceramic Fiber Manufacturer', 'Refractory Anchors Manufacturer', 'Distribution Services', 'Composite Shapes Manufacturer', 'Precast Specialty Refractories', 'Refractors for The Chemical Industry', 'Corrosion Protection Products Manufacturer', 'Universal Threaded Studs Manufacturer']",Manufacturing,"Minerals, Earths & Ores",Ground or Treated Mineral and Earth Manufacturing,Precast Concrete Installation,0.1054,confident,0.1053576480629614,0.022287509254616,,
